Francoise,Rautenstrauch,519-569-8399,francoise.rautenstrauch@rautenstrauch.com
Kendra,Loud,506-363-1526,kloud@gmail.com
Lourdes,Bauswell,613-903-7043,lourdes_bauswell@aol.com
Hannah,Edmison,604-334-3686,hannah@yahoo.com
Tom,Loeza,514-487-6096,tom.loeza@gmail.com
Queenie,Kramarczyk,306-421-5793,queenie.kramarczyk@kramarczyk.org
Hui,Portaro,506-827-7755,hui_portaro@cox.net
Josefa,Opitz,519-788-7645,josefa.opitz@opitz.org
Lea,Steinhaus,905-618-8258,lsteinhaus@cox.net
Paola,Vielma,905-456-1117,paola_vielma@aol.com
Hortencia,Bresser,902-256-6791,hbresser@aol.com
Leanna,Tijerina,416-719-2114,leanna@cox.net
Danilo,Pride,403-212-4945,danilo_pride@hotmail.com
Huey,Marcille,780-639-3619,huey.marcille@gmail.com
Apolonia,Warne,506-978-1488,apolonia@gmail.com
Chandra,Lagos,416-716-6446,chandra.lagos@lagos.org
Crissy,Pacholec,705-477-2307,crissy@aol.com
Gianna,Branin,403-337-7162,gianna@aol.com
Valentin,Billa,306-291-5073,vbilla@yahoo.com
Ilona,Dudash,819-536-7034,idudash@dudash.com
Willard,Lablanc,780-384-5410,wlablanc@yahoo.com
Lauryn,Randol,604-236-4625,lauryn@yahoo.com
Laurena,Begin,519-790-8660,laurena.begin@begin.com
Elise,Michelle,905-652-4509,elise@gmail.com
Corrie,Kardell,514-203-7817,corrie_kardell@aol.com
Kimberely,Rabuse,519-912-5533,kimberely.rabuse@cox.net
Tish,Violett,450-840-7605,tish.violett@violett.com
Hollis,Stanfield,780-574-5620,hollis.stanfield@aol.com
Andree,Christmann,519-872-6826,andree.christmann@cox.net
Lyla,Fucillo,902-844-1174,lyla_fucillo@cox.net
Felton,Yafuso,613-749-1169,felton.yafuso@gmail.com
Dell,Polino,819-255-1725,dell_polino@polino.com
Nohemi,Leko,705-838-9265,nohemi@aol.com
Tambra,Lembke,250-353-7479,tlembke@lembke.org
Vicki,Maikoksoong,604-231-6180,vicki@gmail.com
